N,P,K,pH,Humidity,Temperature,Rainfall,CropYield,District,SoilType,CropName
55,28,40,6.3,75,27,1800,800,Jhargram,Laterite Soil,Cashew
20,10,15,5.9,78,25,1600,300,Jhargram,Laterite Soil,Pulses (Green Gram)
18,9,14,5.8,80,24,1500,275,Jhargram,Laterite Soil,Pulses (Green Gram)
22,11,16,6.2,76,26,1700,325,Jhargram,Laterite Soil,Pulses (Green Gram)
16,8,12,5.6,82,23,1400,250,Jhargram,Laterite Soil,Pulses (Green Gram)
25,12,18,6.3,75,27,1800,350,Jhargram,Laterite Soil,Pulses (Green Gram)
35,15,25,5.9,79,25,1600,600,Jhargram,Laterite Soil,Pearl Millet (Bajra)
32,14,22,5.8,80,24,1500,550,Jhargram,Laterite Soil,Pearl Millet (Bajra)
38,17,28,6.2,76,26,1700,650,Jhargram,Laterite Soil,Pearl Millet (Bajra)
30,13,20,5.6,82,23,1400,500,Jhargram,Laterite Soil,Pearl Millet (Bajra)
40,18,30,6.3,75,27,1800,700,Jhargram,Laterite Soil,Pearl Millet (Bajra)
40,20,30,5.9,78,25,1600,800,Jhargram,Laterite Soil,Sorghum (Jowar)
38,19,28,5.8,80,24,1500,750,Jhargram,Laterite Soil,Sorghum (Jowar)
42,21,32,6.2,76,26,1700,900,Jhargram,Laterite Soil,Sorghum (Jowar)
36,18,26,5.6,82,23,1400,700,Jhargram,Laterite Soil,Sorghum (Jowar)
45,22,35,6.3,75,27,1800,950,Jhargram,Laterite Soil,Sorghum (Jowar)
55,28,40,5.9,79,25,1600,1050,Jhargram,Laterite Soil,Maize
52,26,38,5.8,80,24,1500,950,Jhargram,Laterite Soil,Maize
58,30,45,6.2,76,26,1700,1100,Jhargram,Laterite Soil,Maize
50,25,35,5.6,82,23,1400,900,Jhargram,Laterite Soil,Maize
60,32,50,6.3,75,27,1800,1200,Jhargram,Laterite Soil,Maize
45,22,30,5.9,79,25,1600,800,Jhargram,Laterite Soil,Rice
42,20,28,5.8,80,24,1500,750,Jhargram,Laterite Soil,Rice
48,24,32,6.2,76,26,1700,900,Jhargram,Laterite Soil,Rice
40,18,26,5.6,82,23,1400,700,Jhargram,Laterite Soil,Rice
50,26,35,6.3,75,27,1800,950,Jhargram,Laterite Soil,Rice
110,55,75,5.6,83,26,1880,2000,Malda,Red & Laterite Soil,Rice
108,52,72,5.6,83,26,1880,1950,Malda,Red & Laterite Soil,Rice
112,58,78,5.6,83,26,1880,2050,Malda,Red & Laterite Soil,Rice
106,50,70,5.6,83,26,1880,1900,Malda,Red & Laterite Soil,Rice
114,60,80,5.6,83,26,1880,2100,Malda,Red & Laterite Soil,Rice
75,38,50,5.8,80,28,1800,3500,Malda,Red & Laterite Soil,Maize
78,40,52,5.8,80,28,1800,3600,Malda,Red & Laterite Soil,Maize
72,36,48,5.8,80,28,1800,3400,Malda,Red & Laterite Soil,Maize
80,42,54,5.8,80,28,1800,3700,Malda,Red & Laterite Soil,Maize
76,39,51,5.8,80,28,1800,3550,Malda,Red & Laterite Soil,Maize
40,20,30,6.2,75,27,1600,800,Malda,Red & Laterite Soil,Pulses (Pigeon Pea)
42,22,32,6.2,75,27,1600,850,Malda,Red & Laterite Soil,Pulses (Black Gram)
38,18,28,6.2,75,27,1600,780,Malda,Red & Laterite Soil,Pulses (Mung Bean)
44,24,34,6.2,75,27,1600,900,Malda,Red & Laterite Soil,Pulses (Pigeon Pea)
41,21,31,6.2,75,27,1600,820,Malda,Red & Laterite Soil,Pulses (Black Gram)
45,23,33,6.2,75,27,1600,920,Malda,Red & Laterite Soil,Pulses (Mung Bean)
46,25,35,6.2,75,27,1600,950,Malda,Red & Laterite Soil,Pulses (Pigeon Pea)
43,22,32,6.2,75,27,1600,870,Malda,Red & Laterite Soil,Pulses (Black Gram)
39,19,29,6.2,75,27,1600,800,Malda,Red & Laterite Soil,Pulses (Mung Bean)
48,26,36,6.2,75,27,1600,980,Malda,Red & Laterite Soil,Pulses (Pigeon Pea)
60,30,40,5.7,82,25,1750,1200,Malda,Red & Laterite Soil,Sorghum (Jowar)
62,32,42,5.7,82,25,1750,1250,Malda,Red & Laterite Soil,Sorghum (Jowar)
58,28,38,5.7,82,25,1750,1150,Malda,Red & Laterite Soil,Sorghum (Jowar)
64,34,44,5.7,82,25,1750,1300,Malda,Red & Laterite Soil,Sorghum (Jowar)
59,29,39,5.7,82,25,1750,1170,Malda,Red & Laterite Soil,Sorghum (Jowar)
65,35,45,5.7,82,25,1750,1320,Malda,Red & Laterite Soil,Sorghum (Jowar)
61,31,41,5.7,82,25,1750,1220,Malda,Red & Laterite Soil,Sorghum (Jowar)
63,33,43,5.7,82,25,1750,1270,Malda,Red & Laterite Soil,Sorghum (Jowar)
57,27,37,5.7,82,25,1750,1100,Malda,Red & Laterite Soil,Sorghum (Jowar)
68,38,48,5.7,82,25,1750,1380,Malda,Red & Laterite Soil,Sorghum (Jowar)
45,25,35,6,78,26,1680,1500,Malda,Red & Laterite Soil,Groundnut
47,27,37,6,78,26,1680,1550,Malda,Red & Laterite Soil,Groundnut
43,23,33,6,78,26,1680,1450,Malda,Red & Laterite Soil,Groundnut
49,29,39,6,78,26,1680,1600,Malda,Red & Laterite Soil,Groundnut
46,26,36,6,78,26,1680,1520,Malda,Red & Laterite Soil,Groundnut
50,30,40,6,78,26,1680,1650,Malda,Red & Laterite Soil,Groundnut
48,28,38,6,78,26,1680,1580,Malda,Red & Laterite Soil,Groundnut
52,32,42,6,78,26,1680,1700,Malda,Red & Laterite Soil,Groundnut
44,24,34,6,78,26,1680,1480,Malda,Red & Laterite Soil,Groundnut
55,35,45,6,78,26,1680,1750,Malda,Red & Laterite Soil,Groundnut
80,40,60,5.8,85,23,1800,8000,Malda,Red & Laterite Soil,Sugarcane
82,42,62,5.8,85,23,1800,8200,Malda,Red & Laterite Soil,Sugarcane
78,38,58,5.8,85,23,1800,7800,Malda,Red & Laterite Soil,Sugarcane
84,44,64,5.8,85,23,1800,8400,Malda,Red & Laterite Soil,Sugarcane
79,39,59,5.8,85,23,1800,7900,Malda,Red & Laterite Soil,Sugarcane
40,20,30,5.5,78,24,1200,800,Purulia,Red Soil,Pearl Millet
45,25,35,5.7,80,26,1300,850,Purulia,Red Soil,Pearl Millet
38,18,28,5.3,76,23,1150,780,Purulia,Red Soil,Pearl Millet
42,22,32,5.6,79,25,1250,820,Purulia,Red Soil,Pearl Millet
37,17,27,5.2,75,22,1100,750,Purulia,Red Soil,Pearl Millet
35,15,25,5.8,80,23,1100,600,Purulia,Red Soil,Finger Millet
40,18,28,6,82,25,1200,650,Purulia,Red Soil,Finger Millet
32,12,22,5.6,78,24,1050,580,Purulia,Red Soil,Finger Millet
38,16,24,5.9,81,23,1150,620,Purulia,Red Soil,Finger Millet
30,10,20,5.5,77,22,1000,550,Purulia,Red Soil,Finger Millet
30,15,25,5.5,75,24,1000,500,Purulia,Red Soil,Sorghum (Jowar)
35,20,30,5.7,77,26,1100,550,Purulia,Red Soil,Sorghum (Jowar)
28,13,23,5.3,74,23,950,480,Purulia,Red Soil,Sorghum (Jowar)
32,18,27,5.6,76,25,1050,520,Purulia,Red Soil,Sorghum (Jowar)
26,12,22,5.2,73,22,900,450,Purulia,Red Soil,Sorghum (Jowar)
40,20,30,5.8,78,26,1200,900,Purulia,Red Soil,Groundnut
45,25,35,6,80,28,1300,950,Purulia,Red Soil,Groundnut
38,18,28,5.6,76,25,1150,870,Purulia,Red Soil,Groundnut
42,22,32,5.9,79,25,1250,920,Purulia,Red Soil,Groundnut
37,17,27,5.5,75,24,1100,850,Purulia,Red Soil,Groundnut
25,12,20,5.5,80,28,950,400,Purulia,Red Soil,Pigeon Pea
30,15,25,5.7,82,24,1000,420,Purulia,Red Soil,Pigeon Pea
22,10,18,5.3,78,26,900,380,Purulia,Red Soil,Pigeon Pea
28,14,22,5.6,81,23,980,400,Purulia,Red Soil,Pigeon Pea
20,8,16,5.2,77,25,850,350,Purulia,Red Soil,Pigeon Pea
50,20,30,5.8,82,28,1800,1380,Purulia,Red & Laterite Soil,Sorghum (Jowar)
55,22,33,5.8,82,28,1800,1420,Purulia,Red & Laterite Soil,Sorghum (Jowar)
48,18,28,5.8,82,28,1800,1350,Purulia,Red & Laterite Soil,Sorghum (Jowar)
58,24,36,5.8,82,28,1800,1450,Purulia,Red & Laterite Soil,Sorghum (Jowar)
52,21,32,5.8,82,28,1800,1400,Purulia,Red & Laterite Soil,Sorghum (Jowar)
25,12,20,5.5,80,28,950,400,Purulia,Red Soil,Mung Bean
30,15,25,5.7,82,24,1000,420,Purulia,Red Soil,Mung Bean
22,10,18,5.3,78,26,900,380,Purulia,Red Soil,Mung Bean
28,14,22,5.6,81,23,980,400,Purulia,Red Soil,Mung Bean
20,8,16,5.2,77,25,850,350,Purulia,Red Soil,Mung Bean
25,12,20,5.5,80,28,950,400,Purulia,Red Soil,Black Gram
30,15,25,5.7,82,24,1000,420,Purulia,Red Soil,Black Gram
22,10,18,5.3,78,26,900,380,Purulia,Red Soil,Black Gram
28,14,22,5.6,81,23,980,400,Purulia,Red Soil,Black Gram
20,8,16,5.2,77,25,850,350,Purulia,Red Soil,Black Gram
30,15,25,5.5,80,28,1000,700,Purulia,Red Soil,Tomatoes
35,20,30,5.7,82,24,1100,750,Purulia,Red Soil,Tomatoes
28,13,23,5.3,78,26,950,680,Purulia,Red Soil,Tomatoes
32,18,27,5.6,81,23,1050,720,Purulia,Red Soil,Tomatoes
26,12,22,5.2,77,25,900,670,Purulia,Red Soil,Tomatoes
35,18,28,5.8,78,26,1150,800,Purulia,Red Soil,Beans
40,23,33,6,80,28,1250,850,Purulia,Red Soil,Beans
32,15,25,5.6,76,25,1100,780,Purulia,Red Soil,Beans
37,20,30,5.9,79,25,1200,820,Purulia,Red Soil,Beans
30,13,23,5.5,75,24,1050,750,Purulia,Red Soil,Beans
45,27,38,5.8,82,28,1800,1400,Purulia,Red & Laterite Soil,Beans
50,30,42,5.8,82,28,1800,1450,Purulia,Red & Laterite Soil,Beans
42,24,34,5.8,82,28,1800,1350,Purulia,Red & Laterite Soil,Beans
48,29,39,5.8,82,28,1800,1420,Purulia,Red & Laterite Soil,Beans
40,22,32,5.8,82,28,1800,1300,Purulia,Red & Laterite Soil,Beans
50,25,35,6,85,28,1300,1000,Purulia,Red Soil,Mango
55,30,40,6.2,87,26,1400,1100,Purulia,Red Soil,Mango
48,23,33,5.8,83,27,1250,950,Purulia,Red Soil,Mango
52,28,38,6.1,86,25,1350,1050,Purulia,Red Soil,Mango
45,20,30,5.7,82,24,1200,900,Purulia,Red Soil,Mango
60,35,45,6.1,82,28,1800,1700,Purulia,Red & Laterite Soil,Mango
65,40,50,6.3,84,28,1900,1800,Purulia,Red & Laterite Soil,Mango
58,32,42,6,83,28,1800,1650,Purulia,Red & Laterite Soil,Mango
62,37,47,6.2,85,28,1800,1750,Purulia,Red & Laterite Soil,Mango
55,29,39,5.9,82,28,1800,1600,Purulia,Red & Laterite Soil,Mango
45,20,30,5.7,82,24,1200,900,Purulia,Red Soil,Guava
50,25,35,6,85,26,1300,950,Purulia,Red Soil,Guava
42,18,28,5.6,81,25,1150,870,Purulia,Red Soil,Guava
48,23,33,5.9,84,23,1250,920,Purulia,Red Soil,Guava
40,17,27,5.5,80,22,1100,850,Purulia,Red Soil,Guava
55,27,37,6,82,28,1800,1500,Purulia,Red & Laterite Soil,Guava
60,30,40,6.2,84,28,1900,1600,Purulia,Red & Laterite Soil,Guava
52,24,34,5.8,83,28,1800,1450,Purulia,Red & Laterite Soil,Guava
58,29,39,6.1,85,28,1800,1550,Purulia,Red & Laterite Soil,Guava
50,22,32,5.9,82,28,1800,1400,Purulia,Red & Laterite Soil,Guava
28,14,22,5.6,81,23,980,400,Purulia,Red Soil,Sesame
32,18,27,5.9,84,23,1050,420,Purulia,Red Soil,Sesame
25,12,20,5.5,80,24,950,380,Purulia,Red Soil,Sesame
30,15,25,5.8,83,22,1000,400,Purulia,Red Soil,Sesame
22,10,18,5.3,78,25,900,350,Purulia,Red Soil,Sesame
45,22,32,5.8,82,28,1800,700,Purulia,Red & Laterite Soil,Sesame
50,25,35,5.8,82,28,1800,750,Purulia,Red & Laterite Soil,Sesame
42,20,30,5.8,82,28,1800,680,Purulia,Red & Laterite Soil,Sesame
48,24,34,5.8,82,28,1800,720,Purulia,Red & Laterite Soil,Sesame
40,18,28,5.8,82,28,1800,670,Purulia,Red & Laterite Soil,Sesame
32,18,27,5.7,82,24,1050,500,Purulia,Red Soil,Sunflower
37,23,33,6,84,26,1150,550,Purulia,Red Soil,Sunflower
30,15,25,5.6,80,25,1000,480,Purulia,Red Soil,Sunflower
35,20,30,5.9,83,23,1100,520,Purulia,Red Soil,Sunflower
28,13,23,5.5,79,22,950,450,Purulia,Red Soil,Sunflower
45,25,35,5.8,82,28,1800,800,Purulia,Red & Laterite Soil,Sunflower
50,30,40,5.8,82,28,1800,850,Purulia,Red & Laterite Soil,Sunflower
42,22,32,5.8,82,28,1800,780,Purulia,Red & Laterite Soil,Sunflower
48,28,38,5.8,82,28,1800,820,Purulia,Red & Laterite Soil,Sunflower
40,20,30,5.8,82,28,1800,770,Purulia,Red & Laterite Soil,Sunflower
40,20,30,5.8,78,26,1200,600,Purulia,Red Soil,Cotton
45,25,35,6,80,28,1300,650,Purulia,Red Soil,Cotton
38,18,28,5.6,76,25,1150,580,Purulia,Red Soil,Cotton
42,22,32,5.9,79,25,1250,620,Purulia,Red Soil,Cotton
37,17,27,5.5,75,24,1100,550,Purulia,Red Soil,Cotton
50,28,38,5.8,82,28,800,900,Purulia,Red & Laterite Soil,Cotton
55,32,42,5.8,82,28,800,950,Purulia,Red & Laterite Soil,Cotton
48,24,34,5.8,82,28,800,880,Purulia,Red & Laterite Soil,Cotton
52,30,40,5.8,82,28,800,920,Purulia,Red & Laterite Soil,Cotton
45,22,32,5.8,82,28,800,850,Purulia,Red & Laterite Soil,Cotton
100,50,70,5.9,81,23,1750,2050,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Rice
105,52,72,5.6,85,23,1800,2100,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Rice
98,48,66,6,79,27,1700,2000,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Rice
110,55,75,5.7,82,24,1700,1900,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Rice
92,46,62,5.9,77,24,1550,1950,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Rice
80,40,60,6.1,79,27,1600,1800,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Maize
85,42,55,6,76,25,1500,1900,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Maize
78,38,58,6.2,80,26,1550,1750,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Maize
82,40,62,6.3,78,28,1650,1700,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Maize
81,39,61,6.35,78.5,27.5,1625,1675,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Maize
90,45,65,6.1,79,27,1550,2000,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Wheat
95,48,60,6,82,25,1600,2100,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Wheat
88,42,58,6.2,78,26,1500,1900,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Wheat
92,46,62,6.3,80,28,1650,1950,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Wheat
85,40,60,6,77,24,1450,1800,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Wheat
50,25,40,6.5,85,23,1200,900,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Mustard
55,28,43,6.6,86,27,1250,950,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Mustard
48,22,38,6.4,83,26,1100,850,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Mustard
52,30,45,6.7,88,24,1300,800,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Mustard
45,20,35,6.9,89,24,1150,950,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Mustard
40,20,35,6.9,88,24,850,800,Uttar Dinajpur (North Dinajpur),Terai Alluvial Soil,Pigeon Pea
